Order,Question,Answer,Category,Tags,Code Example,References
1,"What is the difference between abstract class and interface in Java?","Abstract classes can have both abstract and concrete methods, constructors, instance variables, and access modifiers. Interfaces (before Java 8) could only have abstract methods and constants. From Java 8+, interfaces can have default and static methods. A class can extend only one abstract class but implement multiple interfaces. Use abstract classes for ""is-a"" relationships and interfaces for ""can-do"" relationships.","OOP Concepts","abstract-class, interface, inheritance","// Abstract class\nabstract class Animal {\n    protected String name;\n    \n    public Animal(String name) {\n        this.name = name;\n    }\n    \n    public void sleep() {\n        System.out.println(name + "" is sleeping"");\n    }\n    \n    public abstract void makeSound();\n}\n\n// Interface\ninterface Flyable {\n    void fly();\n    \n    default void land() {\n        System.out.println(""Landing safely"");\n    }\n}","Oracle Java Documentation, Effective Java"
2,"Explain method overloading and method overriding in Java.","Method Overloading: Multiple methods with same name but different parameters (compile-time polymorphism). Method Overriding: Child class provides specific implementation of parent class method (runtime polymorphism). Overloading uses different signatures, overriding uses same signature with @Override annotation.","OOP Concepts","overloading, overriding, polymorphism","// Method Overloading\nclass Calculator {\n    public int add(int a, int b) {\n        return a + b;\n    }\n    \n    public double add(double a, double b) {\n        return a + b;\n    }\n    \n    public int add(int a, int b, int c) {\n        return a + b + c;\n    }\n}\n\n// Method Overriding\nclass Animal {\n    public void makeSound() {\n        System.out.println(""Animal makes sound"");\n    }\n}\n\nclass Dog extends Animal {\n    @Override\n    public void makeSound() {\n        System.out.println(""Dog barks"");\n    }\n}","Oracle Java Tutorials"
3,"What are the access modifiers in Java and their scope?","Java has 4 access modifiers: public (accessible everywhere), protected (same package + subclasses), default/package-private (same package only), private (same class only). These control visibility and encapsulation in object-oriented design.","Core Concepts","access-modifiers, encapsulation, visibility","public class AccessModifierExample {\n    public String publicVar = ""Accessible everywhere"";\n    protected String protectedVar = ""Same package + subclasses"";\n    String defaultVar = ""Same package only"";\n    private String privateVar = ""Same class only"";\n    \n    public void accessTest() {\n        // All variables accessible within same class\n        System.out.println(publicVar);\n        System.out.println(protectedVar);\n        System.out.println(defaultVar);\n        System.out.println(privateVar);\n    }\n}","Oracle Java Documentation"
4,"Explain the concept of inheritance in Java.","Inheritance allows a class to inherit properties and methods from another class using 'extends' keyword. It promotes code reusability and establishes ""is-a"" relationship. Java supports single inheritance (one parent class) but multiple inheritance through interfaces. Child class can override parent methods and add new functionality.","OOP Concepts","inheritance, extends, is-a-relationship","class Vehicle {\n    protected String brand;\n    protected int speed;\n    \n    public Vehicle(String brand) {\n        this.brand = brand;\n    }\n    \n    public void start() {\n        System.out.println(brand + "" is starting"");\n    }\n}\n\nclass Car extends Vehicle {\n    private int doors;\n    \n    public Car(String brand, int doors) {\n        super(brand); // Call parent constructor\n        this.doors = doors;\n    }\n    \n    @Override\n    public void start() {\n        System.out.println(""Car "" + brand + "" is starting with key"");\n    }\n    \n    public void honk() {\n        System.out.println(""Car is honking"");\n    }\n}","Oracle Java Tutorials"
5,"What is encapsulation and how is it implemented in Java?","Encapsulation is the bundling of data (variables) and methods that operate on that data within a single unit (class), while hiding internal implementation details. Implemented using private variables and public getter/setter methods. It provides data security, maintainability, and flexibility.","OOP Concepts","encapsulation, getter-setter, data-hiding","public class BankAccount {\n    private double balance; // Private data\n    private String accountNumber;\n    \n    public BankAccount(String accountNumber, double initialBalance) {\n        this.accountNumber = accountNumber;\n        this.balance = initialBalance;\n    }\n    \n    // Public getter\n    public double getBalance() {\n        return balance;\n    }\n    \n    // Public methods for controlled access\n    public void deposit(double amount) {\n        if (amount > 0) {\n            balance += amount;\n        }\n    }\n    \n    public boolean withdraw(double amount) {\n        if (amount > 0 && amount <= balance) {\n            balance -= amount;\n            return true;\n        }\n        return false;\n    }\n}","Oracle Java Documentation"
6,"Explain polymorphism in Java with examples.","Polymorphism means ""many forms"" - one interface, multiple implementations. Two types: Compile-time (method overloading) and Runtime (method overriding). Runtime polymorphism achieved through inheritance and interface implementation, allowing objects to be treated as instances of their parent type.","OOP Concepts","polymorphism, dynamic-binding, runtime","// Runtime Polymorphism Example\nclass Shape {\n    public void draw() {\n        System.out.println(""Drawing a shape"");\n    }\n    \n    public double getArea() {\n        return 0;\n    }\n}\n\nclass Circle extends Shape {\n    private double radius;\n    \n    public Circle(double radius) {\n        this.radius = radius;\n    }\n    \n    @Override\n    public void draw() {\n        System.out.println(""Drawing a circle"");\n    }\n    \n    @Override\n    public double getArea() {\n        return Math.PI * radius * radius;\n    }\n}\n\nclass Rectangle extends Shape {\n    private double width, height;\n    \n    public Rectangle(double width, double height) {\n        this.width = width;\n        this.height = height;\n    }\n    \n    @Override\n    public void draw() {\n        System.out.println(""Drawing a rectangle"");\n    }\n    \n    @Override\n    public double getArea() {\n        return width * height;\n    }\n}\n\n// Usage\nShape[] shapes = {new Circle(5), new Rectangle(4, 6)};\nfor (Shape shape : shapes) {\n    shape.draw(); // Polymorphic method call\n    System.out.println(""Area: "" + shape.getArea());\n}","Oracle Java Tutorials"
7,"What are the differences between String, StringBuilder, and StringBuffer?","String: Immutable, thread-safe, creates new object for each modification. StringBuilder: Mutable, not thread-safe, efficient for single-threaded string manipulation. StringBuffer: Mutable, thread-safe (synchronized), slightly slower than StringBuilder. Use String for few modifications, StringBuilder for many modifications in single thread, StringBuffer for many modifications in multi-threaded environment.","String Handling","string, stringbuilder, stringbuffer, immutable","// String - Immutable\nString str = ""Hello"";\nstr = str + "" World""; // Creates new String object\n\n// StringBuilder - Mutable, not thread-safe\nStringBuilder sb = new StringBuilder(""Hello"");\nsb.append("" World""); // Modifies existing buffer\nString result = sb.toString();\n\n// StringBuffer - Mutable, thread-safe\nStringBuffer sbf = new StringBuffer(""Hello"");\nsbf.append("" World""); // Synchronized methods\nString result2 = sbf.toString();\n\n// Performance comparison\nlong start = System.currentTimeMillis();\nString s = """";\nfor (int i = 0; i < 10000; i++) {\n    s += i; // Very slow - creates 10000 String objects\n}\nlong stringTime = System.currentTimeMillis() - start;\n\nstart = System.currentTimeMillis();\nStringBuilder sb2 = new StringBuilder();\nfor (int i = 0; i < 10000; i++) {\n    sb2.append(i); // Fast - modifies buffer\n}\nString result3 = sb2.toString();\nlong sbTime = System.currentTimeMillis() - start;","Oracle Java Documentation"
8,"Explain Java memory management and garbage collection.","Java memory is divided into Heap (objects), Stack (method calls, local variables), Method Area (class metadata), and PC Register. Garbage Collection automatically reclaims memory of unreferenced objects. GC algorithms include Serial, Parallel, G1, ZGC. Memory leaks can occur with static collections, listeners, and unclosed resources.","Memory Management","garbage-collection, heap, stack, memory-leaks","public class MemoryExample {\n    private static List<String> staticList = new ArrayList<>(); // Potential memory leak\n    \n    public void demonstrateMemory() {\n        // Stack memory - method local variables\n        int localVar = 10;\n        String localString = ""Hello"";\n        \n        // Heap memory - objects\n        List<String> list = new ArrayList<>();\n        for (int i = 0; i < 1000; i++) {\n            list.add(""Item "" + i);\n        }\n        \n        // Objects become eligible for GC when method ends\n        // unless referenced by static variables\n    }\n    \n    public void memoryLeak() {\n        // Adding to static collection - won't be garbage collected\n        staticList.add(""This might cause memory leak"");\n    }\n    \n    // Proper resource management\n    public void properResourceUsage() {\n        try (FileInputStream fis = new FileInputStream(""file.txt"")) {\n            // Use file\n        } catch (IOException e) {\n            e.printStackTrace();\n        }\n        // File automatically closed due to try-with-resources\n    }\n}","Oracle Memory Management Guide"
9,"What are Java Collections and their hierarchy?","Java Collections Framework provides data structures and algorithms. Main interfaces: Collection (List, Set, Queue) and Map. List: ArrayList (resizable array), LinkedList (doubly-linked). Set: HashSet (hash table), TreeSet (sorted), LinkedHashSet (insertion order). Map: HashMap, TreeMap, LinkedHashMap. Queue: PriorityQueue, ArrayDeque.","Collections","collections, list, set, map, arraylist, hashmap","import java.util.*;\n\npublic class CollectionsExample {\n    public void demonstrateCollections() {\n        // List - allows duplicates, maintains order\n        List<String> list = new ArrayList<>();\n        list.add(""Apple"");\n        list.add(""Banana"");\n        list.add(""Apple""); // Duplicate allowed\n        \n        // Set - no duplicates\n        Set<String> set = new HashSet<>();\n        set.add(""Apple"");\n        set.add(""Banana"");\n        set.add(""Apple""); // Duplicate ignored\n        \n        // Map - key-value pairs\n        Map<String, Integer> map = new HashMap<>();\n        map.put(""Apple"", 10);\n        map.put(""Banana"", 20);\n        \n        // TreeSet - sorted set\n        Set<String> sortedSet = new TreeSet<>();\n        sortedSet.add(""Charlie"");\n        sortedSet.add(""Alpha"");\n        sortedSet.add(""Beta"");\n        // Output: [Alpha, Beta, Charlie]\n        \n        // LinkedHashMap - maintains insertion order\n        Map<String, Integer> orderedMap = new LinkedHashMap<>();\n        orderedMap.put(""First"", 1);\n        orderedMap.put(""Second"", 2);\n        orderedMap.put(""Third"", 3);\n    }\n}","Oracle Collections Tutorial"
10,"Explain exception handling in Java.","Exception handling manages runtime errors using try-catch-finally blocks. Two types: Checked exceptions (must be handled) and Unchecked exceptions (runtime). Keywords: try (code that might throw), catch (handle exception), finally (always executes), throw (manually throw), throws (declare exceptions). Custom exceptions extend Exception or RuntimeException.","Exception Handling","exceptions, try-catch, checked-unchecked, finally","public class ExceptionHandlingExample {\n    \n    // Method that throws checked exception\n    public void readFile(String filename) throws IOException {\n        FileReader file = new FileReader(filename);\n        // File operations\n        file.close();\n    }\n    \n    // Exception handling with try-catch-finally\n    public void handleExceptions() {\n        try {\n            int result = 10 / 0; // ArithmeticException\n            readFile(""nonexistent.txt""); // IOException\n        } catch (ArithmeticException e) {\n            System.out.println(""Cannot divide by zero: "" + e.getMessage());\n        } catch (IOException e) {\n            System.out.println(""File error: "" + e.getMessage());\n        } catch (Exception e) {\n            System.out.println(""General error: "" + e.getMessage());\n        } finally {\n            System.out.println(""This always executes"");\n        }\n    }\n    \n    // Custom exception\n    public class InvalidAgeException extends Exception {\n        public InvalidAgeException(String message) {\n            super(message);\n        }\n    }\n    \n    public void validateAge(int age) throws InvalidAgeException {\n        if (age < 0 || age > 150) {\n            throw new InvalidAgeException(""Invalid age: "" + age);\n        }\n    }\n}","Oracle Exception Tutorial"
