Order,Question,Answer,Category,Tags,Code Example,References
1,"What is Node.js and what are its key features?","Node.js is a JavaScript runtime built on Chrome's V8 engine that executes JavaScript code outside the browser. Key features include: non-blocking I/O, event-driven architecture, single-threaded with event loop, NPM ecosystem, cross-platform compatibility, and high scalability for I/O intensive operations.",Core Concepts,"nodejs, basics, runtime, v8","const http = require('http');\n\nconst server = http.createServer((req, res) => {\n  res.writeHead(200, {'Content-Type': 'text/plain'});\n  res.end('Hello World from Node.js!');\n});\n\nserver.listen(3000, () => {\n  console.log('Server running on port 3000');\n});",https://nodejs.org/en/docs/
2,"Explain the Node.js Event Loop and its phases in detail.","The Event Loop is Node.js's mechanism for handling asynchronous operations. It has 6 phases: Timers (setTimeout/setInterval), Pending Callbacks (I/O callbacks), Idle/Prepare (internal), Poll (retrieve new I/O events), Check (setImmediate), and Close Callbacks (socket closures). Microtasks (Promises, process.nextTick) run between phases.",Core Concepts,"event-loop, async, concurrency, performance","console.log('Start');\n\nsetTimeout(() => console.log('setTimeout'), 0);\nsetImmediate(() => console.log('setImmediate'));\nPromise.resolve().then(() => console.log('Promise'));\nprocess.nextTick(() => console.log('nextTick'));\n\nconsole.log('End');\n\n// Output: Start, End, nextTick, Promise, setTimeout, setImmediate",https://nodejs.org/en/docs/guides/event-loop-timers-and-nexttick/
3,"What are Streams in Node.js and what types exist?","Streams are collections of data that might not be available all at once and don't have to fit in memory. Types: Readable (fs.createReadStream), Writable (fs.createWriteStream), Duplex (net.Socket - both read/write), Transform (zlib.createGzip - modify data). Streams are EventEmitters and handle large data efficiently using backpressure.",Core Concepts,"streams, memory-efficiency, data-processing","const fs = require('fs');\nconst zlib = require('zlib');\n\n// Efficient file compression using streams\nconst readStream = fs.createReadStream('large-file.txt');\nconst writeStream = fs.createWriteStream('large-file.txt.gz');\nconst gzip = zlib.createGzip();\n\nreadStream\n  .pipe(gzip)\n  .pipe(writeStream)\n  .on('finish', () => console.log('Compression complete'));",https://nodejs.org/en/docs/guides/backpressuring-in-streams/
4,"What is the difference between process.nextTick() and setImmediate()?","process.nextTick() executes callbacks in the same phase of the event loop, before moving to the next phase (microtask queue). setImmediate() executes in the Check phase of the next event loop iteration. nextTick has higher priority and can cause I/O starvation if used recursively. Use setImmediate for breaking up long operations.",Core Concepts,"event-loop, async, scheduling","// nextTick executes before I/O\nfs.readFile('file.txt', () => {\n  console.log('I/O callback');\n});\n\nprocess.nextTick(() => console.log('nextTick'));\nsetImmediate(() => console.log('setImmediate'));\n\n// Output order:\n// nextTick\n// setImmediate\n// I/O callback",https://nodejs.org/en/docs/guides/event-loop-timers-and-nexttick/#process-nexttick-vs-setimmediate
5,"How does Node.js handle child processes and what methods are available?","Node.js provides the 'child_process' module with methods: spawn() (streams, long-running), exec() (buffers, shell commands), execFile() (no shell, faster), and fork() (IPC channel, Node.js processes). Use for CPU-intensive tasks, running system commands, or creating worker processes. Worker threads are now preferred for CPU-bound JavaScript tasks.",Concurrency,"child-process, workers, performance, clustering","const { spawn, fork } = require('child_process');\n\n// Spawn for streaming output\nconst ls = spawn('ls', ['-la']);\nls.stdout.on('data', (data) => console.log(data.toString()));\n\n// Fork for Node.js worker processes\nconst worker = fork('./worker.js');\nworker.send({ task: 'process-data', data: [1,2,3] });\nworker.on('message', (result) => console.log(result));",https://nodejs.org/en/docs/latest/api/child_process.html
6,"Explain middleware in Express.js and its types.","Middleware are functions with access to req, res, and next(). Types: Application-level (app.use), Router-level (router.use), Error-handling (4 params: err, req, res, next), Built-in (express.json, express.static), Third-party (cors, helmet). They execute sequentially and can modify request/response, end cycle, or call next().",Express.js,"express, middleware, request-handling, architecture","const express = require('express');\nconst app = express();\n\n// Application-level middleware\napp.use(express.json());\napp.use((req, res, next) => {\n  req.requestTime = Date.now();\n  next();\n});\n\n// Router-level middleware\nconst router = express.Router();\nrouter.use((req, res, next) => {\n  console.log('Router middleware');\n  next();\n});\n\n// Error-handling middleware (must be last)\napp.use((err, req, res, next) => {\n  res.status(err.status || 500).json({ error: err.message });\n});",https://expressjs.com/en/guide/using-middleware.html
7,"What are the differences between CommonJS and ES Modules in Node.js?","CommonJS (require/module.exports) loads synchronously, caches modules, and was Node.js default. ES Modules (import/export) load asynchronously, support tree-shaking, have static analysis, and are the JavaScript standard. Use .mjs extension or 'type: module' in package.json for ESM. Top-level await works only in ESM.",Module System,"esm, commonjs, modules, imports","// CommonJS\nconst fs = require('fs');\nmodule.exports = { myFunction };\n\n// ES Modules (package.json: type: module)\nimport fs from 'fs';\nimport { readFile } from 'fs/promises';\n\n// Top-level await (ESM only)\nconst data = await readFile('file.txt', 'utf8');\n\nexport { myFunction };\nexport default MyClass;",https://nodejs.org/en/docs/latest/api/esm.html
8,"How do you handle errors in Node.js asynchronously?","Error handling strategies: try-catch for async/await, .catch() for Promises, error-first callbacks, error event listeners for streams/EventEmitters, process.on('uncaughtException') as last resort. Use centralized error handling middleware in Express. Always handle Promise rejections to avoid deprecation warnings.",Error Handling,"error-handling, async, promises, best-practices","// Async/await with try-catch\nasync function fetchData() {\n  try {\n    const result = await someAsyncOperation();\n    return result;\n  } catch (error) {\n    console.error('Error:', error);\n    throw error; // Re-throw or handle\n  }\n}\n\n// Promise rejection handling\nprocess.on('unhandledRejection', (reason, promise) => {\n  console.error('Unhandled Rejection:', reason);\n  // Log, notify, graceful shutdown\n});\n\n// Error-first callback pattern\nfs.readFile('file.txt', (err, data) => {\n  if (err) return console.error(err);\n  console.log(data);\n});",https://nodejs.org/en/docs/latest/api/process.html#event-uncaughtexception
9,"What is clustering in Node.js and how does it improve performance?","Clustering allows creating child processes (workers) that share the same server port, utilizing multi-core systems. The master process distributes incoming connections across workers using round-robin. Improves performance for CPU-bound operations and provides fault tolerance. PM2 simplifies cluster management in production.",Scalability,"cluster, performance, scaling, multi-core","const cluster = require('cluster');\nconst http = require('http');\nconst numCPUs = require('os').cpus().length;\n\nif (cluster.isMaster) {\n  console.log(`Master ${process.pid} starting`);\n  // Fork workers\n  for (let i = 0; i < numCPUs; i++) {\n    cluster.fork();\n  }\n  cluster.on('exit', (worker) => {\n    console.log(`Worker ${worker.process.pid} died`);\n    cluster.fork(); // Replace dead worker\n  });\n} else {\n  // Workers share TCP connection\n  http.createServer((req, res) => {\n    res.end(`Worker ${process.pid} handled request`);\n  }).listen(8000);\n}",https://nodejs.org/en/docs/latest/api/cluster.html
10,"Explain Worker Threads and when to use them over child processes.","Worker Threads share memory and are lightweight, ideal for CPU-intensive JavaScript tasks. Use SharedArrayBuffer and Atomics for shared memory. Compared to child processes: faster startup, less memory, no IPC serialization overhead, but single V8 instance. Use for parallel JavaScript execution, image processing, encryption.",Concurrency,"worker-threads, performance, parallel-processing, cpu-intensive","const { Worker, isMainThread, parentPort, workerData } = require('worker_threads');\n\nif (isMainThread) {\n  // Main thread\n  const worker = new Worker(__filename, {\n    workerData: { num: 5 }\n  });\n  worker.on('message', (result) => {\n    console.log('Result:', result);\n  });\n} else {\n  // Worker thread\n  function fibonacci(n) {\n    if (n <= 1) return n;\n    return fibonacci(n - 1) + fibonacci(n - 2);\n  }\n  const result = fibonacci(workerData.num);\n  parentPort.postMessage(result);\n}",https://nodejs.org/en/docs/latest/api/worker_threads.html
